ProjectID,Year,Region,ProjectType,TotalSpending,PrePlanningSpending,DesignSpending,ConstructionSpending,ProjectDuration,NumberOfStakeholders,QualityAssuranceScore,RiskLevel,ComplianceStatus,NumberOfChangeOrders,NumberOfInspections
PROJ00001,2020,Sur,Salud,9784572.77,1408404.21,1862413.96,6513754.6,55,11,8,Bajo,Cumplido,5,10
PROJ00002,2015,Oeste,Residencial,57938276.69,6077986.62,10465396.22,41394893.85,56,36,8,Bajo,No Cumplido,4,7
PROJ00003,2018,Centro,Residencial,100000000.0,13317788.59,14229424.5,72452786.91,43,34,3,Bajo,Cumplido,1,8
PROJ00004,2018,Centro,Infraestructura,43986204.5,6361290.69,8014981.38,29609932.430000003,54,36,9,Medio,Cumplido,2,2
PROJ00005,2022,Sur,Infraestructura,52811258.27,7260861.48,9424190.26,36126206.53000001,32,45,2,Bajo,Cumplido,1,5
PROJ00006,2018,Centro,Comercial,38673476.42,3946154.84,5944848.26,28782473.32,37,19,1,Bajo,Cumplido,1,13
PROJ00007,2020,Sur,Residencial,58912699.94,8703236.04,9231273.59,40978190.31,44,49,6,Bajo,Cumplido,2,11
PROJ00008,2017,Sur,Infraestructura,100000000.0,9377497.74,14792738.25,75829764.01,12,11,8,Medio,Cumplido,2,11
PROJ00009,2019,Norte,Infraestructura,100000000.0,7497286.04,15503386.84,76999327.11999999,13,15,10,Medio,Cumplido,3,7
PROJ00010,2022,Centro,Comercial,100000000.0,13682287.94,15100743.31,71216968.75,58,9,10,Bajo,Cumplido,3,14
PROJ00011,2021,Centro,Industrial,100000000.0,13820211.45,12761055.88,73418732.67,15,6,6,Bajo,Cumplido,5,11
PROJ00012,2023,Oeste,Residencial,24136347.58,1350147.48,3232977.71,19553222.389999997,14,44,10,Bajo,Cumplido,6,4
PROJ00013,2023,Sur,Industrial,71779830.05,8877612.75,14172048.92,48730168.379999995,23,31,7,Medio,Cumplido,2,8
PROJ00014,2016,Oeste,Residencial,23281815.75,1944341.25,4592654.18,16744820.32,58,8,5,Alto,Cumplido,3,9
PROJ00015,2021,Oeste,Residencial,8101191.47,1101841.08,870465.24,6128885.149999999,48,42,1,Alto,Cumplido,0,13
PROJ00016,2022,Oeste,Residencial,95003180.16,7058089.57,17485135.76,70459954.83,37,37,3,Bajo,Cumplido,4,5
PROJ00017,2022,Este,Comercial,100000000.0,10803025.45,18447395.18,70749579.37,36,22,7,Bajo,Cumplido,2,15
PROJ00018,2023,Norte,Residencial,98703627.75,6220770.31,16363842.06,76119015.38,18,31,9,Bajo,Cumplido,6,6
